VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,trip_time
2,2015-01-08 22:44:09,2015-01-08 22:50:56,1,1.55,-73.9876861572266,40.724250793457,1,N,-73.973762512207,40.7433776855469,2,7.5,0.5,0.5,0,0,8.8,5000
1,2015-01-08 22:44:09,2015-01-08 22:51:17,3,1.2,-73.991569519043,40.7269325256348,1,N,-74.0041046142578,40.7210807800293,2,7,0.5,0.5,0,0,8.3,5344860
1,2015-01-08 22:44:10,2015-01-08 22:55:27,1,2.4,-73.9819183349609,40.7834434509277,1,N,-73.9523544311524,40.7981986999512,2,10.5,0.5,0.5,0,0,11.8,3345464
1,2015-01-08 22:44:10,2015-01-08 22:58:09,1,7.3,-73.9731216430664,40.7435531616211,1,N,-73.9195709228516,40.8320007324219,2,21.5,0.5,0.5,0,0,22.8,893933
1,2015-01-08 22:44:12,2015-01-08 22:46:16,1,0.4,-73.9829483032227,40.7662086486816,1,N,-73.9843902587891,40.7640533447266,2,3.5,0.5,0.5,0,0,4.8,36864
2,2015-01-08 22:44:12,2015-01-08 22:48:33,1,0.71,-73.9824981689453,40.7640190124512,1,N,-73.9746475219727,40.7577781677246,2,5,0.5,0.5,0,0,6.3,37874347
1,2015-01-08 22:44:12,2015-01-08 22:51:35,1,1.6,-73.9721603393555,40.7593460083008,1,N,-73.9860763549805,40.7401466369629,1,7.5,0.5,0.5,1.2,0,10,459479749
2,2015-01-08 22:44:13,2015-01-08 22:46:37,1,0.52,-73.9726791381836,40.7932891845703,1,N,-73.9712829589844,40.797061920166,1,4,0.5,0.5,0.9,0,6.2,84855
2,2015-01-08 22:44:14,2015-01-08 22:55:05,3,6.23,-74.0114898681641,40.7027282714844,1,N,-73.95947265625,40.762882232666,1,18.5,0.5,0.5,3.8,0,23.6,843
2,2015-01-08 22:44:14,2015-01-08 22:59:12,1,5.88,-73.9287185668945,40.7438888549805,5,N,-73.8552169799805,40.7277793884277,1,75,0,0,5,0,80.3,5001
2,2015-01-08 22:44:15,2015-01-08 23:02:04,1,3.48,-73.9744033813477,40.755313873291,1,N,-73.9809951782227,40.7211952209473,1,15,0.5,0.5,3.1,0,19.4,5344861
1,2015-01-08 22:44:16,2015-01-08 22:48:17,1,1,-73.9770202636719,40.7522506713867,1,N,-73.9775619506836,40.762882232666,1,5,0.5,0.5,3,0,9.3,3345465
